sentence,label
clichéd and ,0
a good film in `` trouble every day ,1
drown a viewer in boredom ,0
romantic ,1
can take the grandkids or the grandparents and ,1
terrific to read about ,1
"a stunning film , a one-of-a-kind tour de force ",1
distinctly sub-par ... ,0
of explosive physical energy and convincing intelligence ,1
"exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble ",1
'll love it and probably want to see it twice . ,1
suffers from a flat script and a low budget ,0
"a searing , epic treatment of a nationwide blight that seems to be ",1
"bleed it almost completely dry of humor , verve and fun ",0
"a long , unfunny one ",0
"inept direction , ",0
delightfully dour ,1
engaging characters ,1
-- full of life and small delights -- ,1
"does n't tell you anything except that the chelsea hotel today is populated by whiny , pathetic , starving and untalented artistes ",0
struggle tragically to comprehend the chasm of knowledge that 's opened between them ,1
the butt of its own joke ,0
"vivid , thoughtful , unapologetically raw ",1
ambition ,1
unhappy situation ,0
", singing and finger snapping it might have held my attention , but as it stands i kept looking for the last exit from brooklyn . ",0
threw medical equipment at a window ,0
laughing at the ridiculous dialog or the oh-so convenient plot twists ,0
"does leblanc make one spectacularly ugly-looking broad , but he appears miserable throughout as he swaggers through his scenes . ",0
delightfully ,1
"two surefire , beloved genres ",1
a riveting and surprisingly romantic ride ,1
were the people who paid to see it . ,0
in this dreary mess ,0
"sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness ",0
's impossible to care ,0
a beautiful film for people who like their romances to have that french realism ,1
attempted here that stubbornly refused to gel ,0
"definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with . ' ",1
xxx is a blast of adrenalin ,1
you rode the zipper after eating a corn dog and an extra-large cotton candy ,1
let-down ,0
turns numbingly dull-witted and disquietingly creepy . ,0
that trademark grin of his -- ,1
content merely ,1
you instantly know whodunit ,0
", scoob and shag do n't eat enough during the film . ' ",0
does give a pretty good overall picture of the situation in laramie following the murder of matthew shepard . ,1
", so who knew charles dickens could be so light-hearted ? ",1
"goes nowhere and goes there very , very slowly ",0
"chilling , and affecting ",1
"crass , then gasp for gas , verbal deportment ",0
mindless and boring ,0
"we never feel anything for these characters , and as a result the film is basically just a curiosity ",0
a good-hearted ensemble comedy with a variety of quirky characters and an engaging story ,1
"plays like a bad soap opera , ",0
starts out strongly ,1
to see two academy award winning actresses ( and one academy award winning actor ) succumb to appearing in this junk that 's tv sitcom material at best ,0
"a gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say ",1
to drag as soon as the action speeds up ,0
"not-so-funny gags , ",0
droning house music ,0
get in the way ,0
disintegrating bloodsucker computer effects ,0
to play second fiddle to the dull effects that allow the suit to come to life ,0
jordan jealous ,0
be a single iota worse ,0
perfectly describes pauline & paulette ,1
of love and companionship ,1
the good girl is a film in which the talent is undeniable but the results are underwhelming . ,0
"is actually dying a slow death , if the poor quality of pokemon 4 ever is any indication . ",0
gloriously goofy way ,1
lan yu never catches dramatic fire . ,0
a brilliant college student -- ,1
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and ",1
this is a movie you can trust . ,1
lazy tearjerker ,0
"i was trying to decide what annoyed me most about god is great ... i 'm not , and then i realized that i just did n't care ",0
strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss ,1
"nice , harmless ",1
influence ,1
"without being forceful , sad without being shrill ",1
you 're never quite sure where self-promotion ends and the truth begins ,0
nevertheless efficiently amusing for a good while ,1
"thoughtful , emotional movie experience ",1
superior crime movie ,1
"pete 's screenplay manages to find that real natural , even-flowing tone that few movies are able to accomplish . ",1
washington as possibly the best actor working in movies today ,1
"enthusiastically invokes the percussion rhythm , the brass soul and the sense of fierce competition that helps make great marching bands half the fun of college football games ",1
though clearly well-intentioned ,1
survives intact in bv 's re-voiced version . ,1
are the kiss of death in this bitter italian comedy ,0
all as very important ,1
of his character ,1
this a moving experience for people who have n't read the book ,1
you wish had been developed with more care ,0
a cinematic postcard ,1
"feminine energy , a tribute to the power of women to heal ",1
always looks good ,1
that is impenetrable and dull ,0
the idiocy ,0
decorous ,1
"lead actress gaï , she of the impossibly long limbs and sweetly conspiratorial smile , is a towering siren . ",1
"sit still for two hours and change watching such a character , especially when rendered in as flat and impassive a manner as phoenix 's ",0
the work of a genuine and singular artist ,1
"300 years of russian history and culture compressed into an evanescent , seamless and sumptuous stream of consciousness . ",1
"smart , ",1
loneliness and isolation ,0
"writer/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred . ",1
", this is the first film in a long time that made me want to bolt the theater in the first 10 minutes . ",0
gorgeous to look at but insufferably tedious and turgid ,0
rolling over in their graves ,0
often incisive satire and unabashed sweetness ,1
yourself remembering this refreshing visit to a sunshine state ,1
"lovely , eerie film ",1
"taken as a whole , the tuxedo does n't add up to a whole lot . ",0
super-simple animation ,1
"charming , funny and beautifully crafted import ",1
scherfig 's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky . ,1
"are so few films about the plight of american indians in modern america that skins comes as a welcome , if downbeat , missive from a forgotten front ",1
"the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain ",0
"tremendous , offbeat sense ",1
a properly spooky film about the power of spirits ,1
"simplistic , silly and tedious ",0
"peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical . ",1
the first part making up for any flaws that come later ,1
all are irrelevant to the experience of seeing the scorpion king ,0
any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out ,0
the slightest difficulty accepting him in the role ,0
gentle and biting ,1
grievous but obscure ,0
responsible for this illuminating comedy ,1
drama . ,1
discoveries ,1
hate it because it 's lousy ,0
for the fine star performances ,1
that that 's exactly what these two people need to find each other ,1
would n't make trouble every day any better . ,0
", narc takes a walking-dead , cop-flick subgenre and beats new life into it . ",1
"full of flatulence jokes and mild sexual references , kung pow ",0
"as far as art is concerned , it 's mission accomplished ",1
sink it faster than a leaky freighter ,0
mildly amusing ,1
listless sci-fi ,0
( a ) stale retread of the '53 original ,0
"just another disjointed , fairly predictable psychological thriller . ",0
", like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes . ",0
"baran is shockingly devoid of your typical majid majidi shoe-loving , crippled children . ",0
ca n't disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling . ,0
transcends the boy-meets-girl posturing of typical love stories ,1
", witless mess ",0
"look at morality , family , and social expectation ",1
", you 're definitely convinced that these women are spectacular . ",1
more than satisfactory ,1
as kooky and overeager as it is spooky and subtly in love with myth ,1
"has some of the funniest jokes of any movie this year , ",1
"passion , melodrama , sorrow , laugther , and tears ",1
really a thriller so much ,1
to be dismissed ,0
", unaware that it 's the butt of its own joke . ",0
disgracefully written dialogue ,0
"is an exercise in chilling style , and twohy films the sub , inside and out , with an eye on preserving a sense of mystery ",1
sixties-style slickness in which the hero might wind up ,1
"none are useful in telling the story , which is paper-thin and decidedly unoriginal ",0
"the movie does n't think much of its characters , its protagonist , or of us . ",0
've completely lowered your entertainment standards ,0
face arrest 15 years after their crime ,0
stylists ,1
i 'd take ( its ) earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time . ,1
like mike shoots and scores ,1
i fear ,0
a prolonged extrusion of psychopathic pulp ,0
"has all of dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability ",0
consistently sensitive ,1
"'s more enjoyable than i expected , ",1
best special effects ,1
in-depth portrait ,1
"its and pieces of the hot chick are so hilarious , and schneider 's performance is so fine , it 's a real shame that so much of the movie -- again , as in the animal -- is a slapdash mess . ",0
"new relevance , ",1
with an inauspicious ,0
its generic villains lack any intrigue ( other than their funny accents ) and ,0
"would require the patience of job to get through this interminable , shapeless documentary about the swinging subculture ",0
", runteldat is something of a triumph . ",1
"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story ",1
", and dramatically moving ",1
self-amused trash ,0
annoyance ,0
an energetic and engaging film that never pretends to be something it is n't . ,1
"by the standards of knucklehead swill , the hot chick is pretty damned funny . ",1
of the film with a creepy and dead-on performance ,1
", sitting through dahmer 's two hours amounts to little more than punishment . ",0
cruel and ,0
wish you had n't seen ,0
"sit open-mouthed before the screen , not screaming but yawning ",0
"that really , really , really good things can come in enormous packages ",1
"at the one-hour mark , herzog simply runs out of ideas and the pace turns positively leaden as the movie sputters to its inevitable tragic conclusion . ",0
the actors pick up the slack ,1
win ,1
makes the move from pleasing ,1
a mediocre movie trying to get out ,0
"while it is interesting to witness the conflict from the palestinian side , longley 's film lacks balance ... and fails to put the struggle into meaningful historical context . ",0
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story ",0
wind ,1
", bad , bad movie ",0
high-concept ,1
is so bad ,0
it drags during its 112-minute length ,0
rehashes several old themes and is capped with pointless extremes ,0
giant spider invasion comic chiller ,1
can easily imagine benigni 's pinocchio becoming a christmas perennial . ,1
have infused frida with a visual style unique and inherent to the titular character 's paintings and in the process created a masterful work of art of their own . ,1
dead ( water ) weight ,0
"please not only the fanatical adherents on either side , but also people who know nothing about the subject and ",0
"has all the values of a straight-to-video movie , but because it has a bigger-name cast , it gets a full theatrical release . ",0
there 's a clarity of purpose and even-handedness to the film 's direction ,1
's stuffy and pretentious ,0
"from its invitingly upbeat overture to its pathos-filled but ultimately life-affirming finale , martin is a masterfully conducted work . ",1
does probably as good a job as anyone ,1
the fact that it is n't very good ,0
the charisma ,1
"flat , unconvincing ",0
this is n't a stand up and cheer flick ; it 's a sit down and ponder affair ,1
manages to be pleasant in spite of its predictability ,1
his strongest performance ,1
extremely funny ,1
are reflected in almost every scene . ,1
"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and ",0
expect more from director michael apted ( enigma ) and screenwriter nicholas kazan ( reversal of fortune ) than this cliche pileup . ,0
first mistake ,0
out-of-kilter ,0
"just a string of stale gags , ",0
except it 's much ,1
bounces ,1
a deserved co-winner of the audience award for documentaries at the sundance film festival ,1
because it is japanese and yet feels universal ,1
his own infinite insecurity is a work of outstanding originality ,1
dirty faces ,1
could have guessed at the beginning ,0
talk to her is not the perfect movie many have made it out to be ,0
watery tones ,0
bubbles up out of john c. walsh 's pipe dream is the distinct and very welcome sense of watching intelligent people making a movie ,1
even worse ,0
that pretends to be passionate and truthful but is really frustratingly timid and soggy ,0
"another , most of which involve precocious kids getting the better of obnoxious adults ",0
"is extremely funny , the first part making up for any flaws that come later ",1
is hampered by its predictable plot and paper-thin supporting characters . ,0
"merges bits and pieces from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci-fi and anime into one big bloody stew ",1
in the right direction ,1
quibble with a flick boasting this many genuine cackles ,1
eventful ,1
simple title ,1
"the film reminds me of a vastly improved germanic version of my big fat greek wedding -- with better characters , some genuine quirkiness and at least a measure of style . ",1
satisfyingly ,1
beautifully shot against the frozen winter landscapes of grenoble and geneva ,1
have gone straight to video . ,0
of its marks ,1
're the kind of parent who enjoys intentionally introducing your kids to films which will cause loads of irreparable damage that years and years of costly analysis could never fix ,0
nothing like love to give a movie a b-12 shot ,1
"there is an accuracy of observation in the work of the director , frank novak , that keeps the film grounded in an undeniable social realism . ",1
diesel is n't the actor to save it . ,0
an intriguing look ,1
down on their working-class subjects ,0
"lan yu is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery . ",1
subtly different ,1
lame musketeer ,0
transcends ethnic lines ,1
possess the lack-of-attention span that we did at seventeen ,0
played and smartly directed ,1
conjure proper respect ,1
has its redundancies ,0
unleashes ,1
plotting and mindless ,0
's an unhappy situation all around . ,0
spectacular completion one ,1
ghandi gone bad ,0
were once amusing ,0
a properly spooky film about the power of spirits to influence us whether we believe in them or not . ,1
consistently sensitive and often exciting ,1
"quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and bruce willis with a scar ",0
a cellular phone commercial ,0
disbelief ,0
"so it 's not a brilliant piece of filmmaking , ",0
as bad as you think ,0
filling nearly every minute ... ,1
the words `` radical '' or `` suck '' ,0
perfect for a ballplayer ,1
uses the last act to reel in the audience ,1
can be as tiresome as 9 seconds of jesse helms ' anti- castro ,0
be nominated for an oscar next year ,1
the stars ,1
inane and awful ,0
"engages us in constant fits of laughter , until we find ourselves surprised at how much we care about the story , ",1
"last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced . ",1
a stirring time at this beautifully drawn movie ,1
is not entirely successful ,0
recent past ,1
one of the best ensemble casts of the year ,1
"is a genuine love story , full of traditional layers of awakening and ripening and separation and recovery ",1
begins as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters ,1
fast-paced contemporary society ,1
excited about on this dvd ,1
mel gibson fights the good fight in vietnam in director randall wallace 's flag-waving war flick with a core of decency . ,1
playing characters who sometimes feel more like literary conceits than flesh-and-blood humans ,0
"thanks largely to williams , all the interesting developments are processed in 60 minutes ",1
"long before it 's over , you 'll be thinking of 51 ways to leave this loser . ",0
"a distinguished and thoughtful film , marked by acute writing and a host of splendid performances . ",1
an elegantly balanced movie ,1
an enjoyable 100 minutes ,1
its idiocy ,0
"yes , spirited away is a triumph of imagination , but it 's also a failure of storytelling ",0
", i was entranced . ",1
spits out denzel washington 's fine performance in the title role ,1
numbing experience to watch ,0
somewhat backhanded ,0
triple x marks the spot . ,1
i saw it as a young boy ,1
tom shadyac 's film kicks off spookily enough ,1
besotted and obvious drama ,0
ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff ,0
a fanciful drama about napoleon 's last years and his surprising discovery of love and humility . ,1
slack complacency ,0
fumbled ,0
as refreshing as a drink from a woodland stream . ,1
was created for the non-fan to figure out what makes wilco a big deal ,1
'll love this movie . ,1
in the dullest kiddie flicks ,0
layer of action man cliché atop wooden dialogue and ,0
"a lot going for it , not least the brilliant performances by testud ... ",1
turmoil ,0
yet it 's potentially just as rewarding ,1
", collateral damage paints an absurdly simplistic picture . ",0
and withholds delivery ,0
the creative act ,1
the paradiso 's rusted-out ruin and ultimate collapse during the film 's final ( restored ) third ... ,0
"the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor ",0
working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up . ,1
crocodile hunter steve irwin do what he does best ,1
"the only way to tolerate this insipid , brutally clueless film ",0
"by england 's roger mitchell , who handily makes the move from pleasing ",1
"one that 's steeped in mystery and a ravishing , baroque beauty ",1
is n't tough to take as long as you 've paid a matinee price ,0
talk about for hours ,1
walked out on a movie ,0
"tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet . ",1
none of the happily-ever ,0
ca n't compare friday after next to them ,1
too much norma rae ,0
... really horrible drek . ,0
of those unassuming films that sneaks up on you and stays with you long after you have left the theater ,1
"odd , rapt spell ",0
can be distinguished from a mediocre one by the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience ,1
seriously dumb characters ,0
the most magical and most fun family fare of this or any recent holiday season ,1
its delightful cast ,1
most resonant film since the killer . ,1
sweet and sexy ,1
cussing ,0
something different ,1
", paxton is surprisingly brilliant , deftly sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip . ",1
"much of it comes from the brave , uninhibited performances by its lead actors . ",1
"the more you think about the movie , the more you will probably like it . ",1
a heartening tale of small victories and enduring ,1
you leaving the theater with a smile on your face ,1
slow-moving ,0
"it should be interesting , it should be poignant , it turns out to be affected and boring . ",0
is its energy ,1
"sometimes charming , sometimes infuriating ",1
gives an intriguing twist ,1
marinated in clichés and mawkish dialogue . ,0
choppiness ,0
in this remarkable and memorable film ,1
"has been allowed to get wet , fuzzy and sticky ",0
lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay ,0
too many prefabricated story elements ,0
such a gloriously goofy way ,1
"hoffman waits too long to turn his movie in an unexpected direction , and ",0
"'s dull , spiritless , silly and monotonous : an ultra-loud blast of pointless mayhem , going nowhere fast ",0
this like the dreaded king brown snake ,0
"sinks into an abyss of clichés , depression and bad alternative music ",0
the barn-burningly bad movie ,0
mistake . ,0
forget ,0
", wendigo is a genuinely bone-chilling tale . ",1
imagine anybody being able to tear their eyes away from the screen ,1
fanciful ,1
"undercuts the joie de vivre even as he creates it , giving the movie a mournful undercurrent that places the good-time shenanigans in welcome perspective ",1
it throws you for a loop . ,1
this supposedly funny movie ,0
distinguished and thoughtful film ,1
"life affirming and heartbreaking , sweet without the decay factor , funny and sad ",1
performances of ( jack nicholson 's ) career ,1
"to the chateau , a sense of light-heartedness , that makes it attractive throughout ",1
the feelings evoked in the film are lukewarm and quick to pass . ,0
cold porridge with only the odd enjoyably chewy lump ,0
temperamental ,0
go see this unique and entertaining twist on the classic whale 's tale ,1
is that her confidence in her material is merited ,1
to suffer ' ,0
runs out of steam after a half hour ,0
seems manufactured to me and artificial ,0
"if you are curious to see the darker side of what 's going on with young tv actors ( dawson leery did what ?!? ) , or see some interesting storytelling devices , you might want to check it out ",1
to the familiar topic of office politics ,1
very top ,1
saddest ,0
that it 's hardly watchable ,0
has some special qualities and the soulful gravity of crudup 's anchoring performance ,1
brutal mid ,0
juicy ,1
raises some worthwhile themes while delivering a wholesome fantasy for kids . ,1
"dumb , credulous , unassuming , subordinate ",0
"fits into a classic genre , ",1
a film so graceless and devoid ,0
but the second half of the movie really goes downhill . ,0
an interesting look ,1
that likely ,1
"really , really stupid ",0
"a powerful , chilling , and affecting study of one man ",1
a defiantly retro chord ,1
"is unusual , food-for-thought cinema that 's as entertaining as it is instructive ",1
smartly written motion picture ,1
has a number of other assets to commend it to movie audiences both innocent and jaded ,1
of the best rock ,1
is still quite good-natured and ,1
touched by an unprecedented tragedy ,0
of sincere grief and mourning in favor of bogus spiritualism ,0
"is , by itself , deserving of discussion . ",1
"a pleasant distraction , ",1
distinctly sub-par ... more likely to drown a viewer in boredom than to send any shivers down his spine ,0
more simply intrusive ,0
you 'll cry for your money back . ,0
's too long and unfocused ,0
a satisfying evening at the multiplex ,1
grating ,0
fling ,1
extends to his supple understanding of the role ,1
turturro is fabulously funny and over the top as a ` very sneaky ' butler who excels in the art of impossible disappearing/reappearing acts ,1
is nothing short of a great one ,1
a heartfelt conviction ,1
alexander payne 's ode to the everyman ,1
as much resemblance to the experiences of most battered women as spider-man ,0
occasionally very enjoyable ,1
yawn-provoking ,0
the war movie compendium across its indulgent two-hour-and-fifteen-minute length ,0
constrictive eisenhower era ,1
villain ,0
this stylish film ,1
consistently clever and suspenseful . ,1
"picture postcard perfect , too neat and new pin-like ",0
to inhale this gutter romancer 's secondhand material ,0
enjoy this movie ,1
"somber , absurd , and ",0
is an unsettling picture of childhood innocence combined with indoctrinated prejudice . ,1
this real-life hollywood fairy-tale is more engaging than the usual fantasies hollywood produces . ,1
"a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary ",0
trying to create something original ,1
for a fairly inexperienced filmmaker ,0
intense and ,1
a solid and refined piece of moviemaking imbued with passion and attitude . ,1
trapped and ,0
the most pitiful directing ,0
that thrusts the audience into a future they wo n't much care about ,0
the slam-bang superheroics are kinetic enough to engross even the most antsy youngsters . ,1
"the movie , shot on digital videotape rather than film ",0
just about more stately than any contemporary movie this year ,1
a deliciously nonsensical comedy about a city coming apart at its seams . ,1
the beauty ,1
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly ",1
the rat-a-tat energy ,1
"fact , the best in recent memory ",1
the overall feel is not unlike watching a glorified episode of `` 7th heaven . '' ,0
"i have always appreciated a smartly written motion picture , ",1
"transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor . ",1
greatest hits ,1
fascinates ,1
effort to disguise it as an unimaginative screenwriter 's invention ,0
"the year 's greatest adventure , and jackson 's limited but enthusiastic adaptation ",1
a sultry evening or a beer-fueled afternoon in the sun can inspire even the most retiring heart to venture forth ,1
works on no level whatsoever for me . ,0
is appealing . ,1
be mindless without being the peak of all things insipid ,0
it 's just merely very bad . ,0
dark places ,0
"while somewhat less than it might have been , the film is a good one , and you 've got to hand it to director george clooney for biting off such a big job the first time out . ",1
the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature . ,1
it is derivative ,0
", to the adrenaline jolt of a sudden lunch rush at the diner ",1
first love sweetly ,1
that the movie has no idea of it is serious or ,0
jarring shocks ,1
such high-profile talent ,1
terrifically entertaining specimen ,1
unimaginatively foul-mouthed ,0
"with or without the sex , a wonderful tale of love and destiny , told well by a master storyteller ",1
scrutinize ,0
during the long build-up of expository material ,0
is found in its ability to spoof both black and white stereotypes equally ,1
a stylish exercise in revisionism whose point ,1
that already knows it 's won ,1
laughs and insight into one of the toughest ages a kid can go through . ,1
it ca n't really be called animation ,0
takes to describe how bad it is ,0
"business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you had n't seen ",0
more compelling ,1
"pointed personalities , courage , ",1
entertains not ,0
is matched only by the ridiculousness of its premise . ,0
"are vividly and painfully brought to slovenly life in this self-deprecating , biting and witty feature written by charlie kaufman and his twin brother , donald , and directed by spike jonze ",1
"hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming ",0
tiresome nature ,0
above anything sandler ,1
most antsy youngsters ,1
it forces you to ponder anew what a movie can be ,1
's nothing remotely topical or sexy here . ,0
"'s crafty , energetic and smart ",1
in the annals of cinema ,1
manic and energetic ,1
feels familiar and tired . ,0
very distinctive sensibility ,1
"tambor and clayburgh make an appealing couple -- he 's understated and sardonic , she 's appealingly manic and energetic . ",1
a smug and convoluted action-comedy that does n't allow an earnest moment to pass without reminding audiences that it 's only a movie . ,0
impressive fake documentary ,1
would seem to be surefire casting ,1
's an 88-minute highlight reel that 's 86 minutes too long . ,0
lackluster ,0
half-baked setups ,0
"permeates all its aspects -- from the tv movie-esque , affected child acting to the dullest irish pub scenes ever filmed . ",0
went over my head or -- considering just ,0
wayward teen ,1
... rogers 's mouth never stops shut about the war between the sexes and how to win the battle . ,1
one scene ,1
is impressive for the sights and sounds of the wondrous beats the world has to offer . ,1
"seemingly eternal running time to pique your interest , your imagination , your empathy or anything , really , save your disgust and your indifference ",0
a wild ride juiced with enough energy and excitement for at least three films . ,1
"failed jokes , twitchy acting , and ",0
not remotely incisive enough ,0
gets its greatest play ,1
creative act ,1
tell the best story ,1
disturbing ,0
clever and insightful ,1
this somewhat tired premise ,0
a nation whose songs spring directly from the lives of the people ,1
the desperation of a very insecure man ,0
"becomes a soulful , incisive meditation ",1
without thrills and a mystery devoid ,0
deliberately and devotedly constructed ,1
( the film 's ) taste for `` shock humor '' will wear thin on all but those weaned on the comedy of tom green and the farrelly brothers ,0
a fascinating study of isolation and frustration ,1
an infinitely wittier version of the home alone formula . ,1
"a sad , soggy potboiler that wastes the talents of its attractive young leads ",0
"patent solutions to dramatize life 's messiness from inside out , in all its strange quirks ",1
feels as if everyone making it lost their movie mojo . ,0
trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and ,0
as fresh-faced as its young-guns cast ,1
better-focused ,1
"the adventure does n't contain half the excitement of balto , or quarter the fun of toy story 2 . ",0
1937 breakthrough ,1
this turd squashed ,0
"a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ... ",0
terrible as the synergistic impulse that created it ,0
the only thing `` swept away '' is the one hour and thirty-three minutes spent watching this waste of time . ,0
any less entertaining ,1
make the stones weep ,1
pinochet 's victims ,0
-- and far less crass - ,1
a uniquely sensual metaphorical dramatization of sexual obsession that spends a bit too much time on its fairly ludicrous plot . ,1
must see for all sides of the political spectrum ,1
more simply intrusive to the story ,0
did i miss something ,0
a film -- full of life and small delights -- that has all the wiggling energy of young kitten ,1
in the film that surprises or delights ,1
"whose charm , cultivation and devotion to his people are readily apparent ",1
"is a light , fun cheese puff of a movie . ",1
"remains a film about something , one that attempts and often achieves a level of connection and concern ",1
the action and special effects ,1
the general 's ,1
"impostor ca n't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies . ",0
accurately ,1
of life and small delights ,1
perverse ,0
"the laramie project is worthwhile for reminding us that this sort of thing does , in fact , still happen in america ",1
those who trek to the ` plex predisposed to like it probably will enjoy themselves . ,1
"captures the way young japanese live now , chafing against their culture 's manic mix of millennial brusqueness and undying , traditional politesse ",1
sinks to a harrison ford low . ,0
"a classy , sprightly spin on film ",1
to convince the audience that these brats will ever be anything more than losers ,0
easily marketable ,1
egypt from 1998 ,1
that spends a bit too much time on its fairly ludicrous plot ,0
you 're on the edge of your seat ,1
the credits roll across the pat ending ,0
bad day ,0
seen this summer ,1
"garcia , who perfectly portrays the desperation of a very insecure man ",1
finding their way to joy ,1
pair that with really poor comedic writing ... ,0
the labyrinthine ways ,0
if only merchant paid more attention the story . ,0
"a mostly believable , refreshingly low-key and quietly inspirational little sports drama . ",1
something both ugly and mindless ,0
you were thinking someone made off with your wallet ,0
ingenious ,1
retread story ,0
of the best next generation episodes ,1
repeated ,0
perfectly entertaining ,1
finally transporting re-imagining of beauty and the beast and 1930s horror films ,1
"if the film has a problem , its shortness disappoints : you want the story to go on and on . ",1
strains ,0
interesting technical ,1
old college try ,0
of those rare pictures ,1
was n't one of the film 's virtues . ,0
has a number of holes ,0
into ` an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ,1
knockoff ,0
"but mostly it 's a work that , with humor , warmth , and intelligence , captures a life interestingly lived . ",1
"sweet , funny , charming , and ",1
wasted in it ,0
"memorable for a peculiar malaise that renders its tension flaccid and , by extension , its surprises limp ",0
a majestic achievement ,1
"mr. deeds is , as comedy goes , very silly -- ",1
it must be said that he is an imaginative filmmaker who can see the forest for the trees . ,1
"yes , i have given this movie a rating of zero . ",0
", it 's icky . ",0
watch witherspoon 's talents ,1
puts an exclamation point ,1
", you realize there 's no place for this story to go but down ",0
to acquire the fast-paced contemporary society ,1
will give many ministers and bible-study groups hours of material to discuss . ,1
plotting ,1
are fleshed-out enough to build any interest ,0
so bad it does n't improve upon the experience of staring at a blank screen ,0
long-faced sad sack ,0
"have easily tipped this film into the `` a '' range , as is ",1
the surprisingly shoddy makeup work ,0
full of traditional layers of awakening and ripening and separation and recovery ,1
a cold blanket ,0
their lofty perch ,1
sexist ,0
"is suspenseful and ultimately unpredictable , with a sterling ensemble cast ",1
valiantly ,1
"does n't trust laughs -- and does n't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects . ",0
a man in pain ,0
", it 's mission accomplished ",1
new star wars movie ,1
"bad , bad movie ",0
i found it weirdly appealing ,1
"recommended viewing for its courage , ideas , technical proficiency and great acting ",1
"... a movie that , quite simply , should n't have been made . ",0
pretty unbelievable ,0
"has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out ",1
santa bumps up against 21st century reality so hard ,0
"if you ever wanted to be an astronaut , this is the ultimate movie experience ",1
is akin to a reader 's digest condensed version of the source material ,0
be utterly entranced by its subject and still show virtually no understanding of it ,0
"plain , unimaginative ",0
career-best ,1
"beautiful , angry and sad , ",1
the problems and characters it reveals are universal and involving ,1
is not easily forgotten ,1
a big-budget/all-star movie as unblinkingly pure as the hours ,1
by someone who obviously knows nothing about crime ,0
been sacrificed for the sake of spectacle ,0
"there 's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there 's nothing else happening ",0
"with a cast of a-list brit actors , it is worth searching out . ",1
the cast is appealing ,1
teeth-clenching gusto ,1
"the kind of lush , all-enveloping movie experience ",1
its committed dumbness ,0
it an exhilarating ,1
friel pulls the strings that make williams sink into melancholia ,0
"under-inspired , overblown enterprise ",0
is too often like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale . ,0
", then triple x marks the spot . ",1
